age,sex,education,workclass,hours-per-week,marital-status,occupation,skills,interests,income
47,Female,Diploma,Private,34,Single,Software Engineer,Public Speaking,Technology,56683
18,Female,High School,Freelancer,40,Single,Data Scientist,Data Analysis,Technology,77068
34,Female,Diploma,Freelancer,37,Divorced,Full Stack Developer,Leadership,Technology,100174
32,Male,Bachelors,Freelancer,56,Married,Software Engineer,Leadership,Technology,117270
30,Female,Diploma,Freelancer,20,Single,DevOps Engineer,Data Analysis,Technology,111036
47,Female,High School,Self-employed,52,Single,Full Stack Developer,Excel,Technology,54048
49,Female,High School,Freelancer,36,Widowed,Data Scientist,Customer Support,Technology,40377
23,Male,High School,Self-employed,54,Divorced,Cloud Architect,Project Management,Technology,87182
43,Male,Diploma,Freelancer,45,Single,Cloud Architect,Customer Support,Technology,52496
38,Female,Bachelors,Freelancer,39,Single,Data Scientist,Data Analysis,Technology,61856
53,Male,Masters,Government,21,Widowed,Full Stack Developer,C++,Technology,91534
50,Female,PhD,Freelancer,21,Married,DevOps Engineer,UI/UX Design,Technology,150589
43,Female,Masters,Freelancer,32,Widowed,DevOps Engineer,Excel,Technology,144025
62,Female,High School,Freelancer,29,Single,DevOps Engineer,Python,Technology,79106
45,Female,Masters,Freelancer,45,Single,DevOps Engineer,Data Analysis,Technology,75271
45,Female,PhD,Government,55,Widowed,Cloud Architect,Communication,Technology,92689
19,Female,PhD,Government,32,Single,Software Engineer,Leadership,Technology,99099
42,Male,PhD,Freelancer,22,Widowed,Data Scientist,Data Visualization,Technology,90417
42,Female,Bachelors,Government,44,Divorced,DevOps Engineer,Public Speaking,Technology,67407
54,Female,Diploma,Freelancer,56,Married,Data Scientist,Python,Technology,86652
38,Female,Diploma,Private,55,Widowed,Cloud Architect,Java,Technology,95558
55,Female,Bachelors,Unemployed,30,Divorced,DevOps Engineer,Node.js,Technology,114821
52,Male,Diploma,Unemployed,57,Widowed,Software Engineer,C++,Technology,64848
56,Female,Diploma,Self-employed,41,Single,DevOps Engineer,Database Management,Technology,64063
34,Male,Diploma,Freelancer,58,Single,Software Engineer,Public Speaking,Technology,82989
29,Male,Bachelors,Self-employed,42,Widowed,DevOps Engineer,React,Technology,47552
42,Male,High School,Unemployed,25,Single,Data Scientist,Excel,Technology,43516
25,Female,Masters,Private,34,Widowed,Full Stack Developer,Data Analysis,Technology,81208
20,Male,Masters,Unemployed,40,Single,Software Engineer,Cloud Computing,Technology,158210
51,Male,PhD,Freelancer,26,Single,Data Scientist,Public Speaking,Technology,128708
33,Male,Masters,Self-employed,33,Single,Cloud Architect,Python,Technology,59455
22,Female,Bachelors,Private,44,Married,DevOps Engineer,Communication,Technology,131352
50,Female,Bachelors,Government,52,Married,Full Stack Developer,Excel,Technology,75379
52,Male,Masters,Government,32,Single,Software Engineer,Leadership,Technology,79901
46,Female,Diploma,Private,53,Single,Data Scientist,Excel,Technology,102466
61,Male,Masters,Government,34,Single,Full Stack Developer,C++,Technology,158250
45,Male,Masters,Freelancer,23,Married,Full Stack Developer,Data Visualization,Technology,81374
43,Female,Masters,Private,58,Single,Software Engineer,Communication,Technology,78711
46,Male,Masters,Freelancer,38,Widowed,Data Scientist,Public Speaking,Technology,74913
58,Female,High School,Freelancer,31,Married,Software Engineer,Finance,Technology,46811
26,Male,High School,Self-employed,45,Married,Full Stack Developer,Leadership,Technology,47375
63,Male,Diploma,Government,36,Divorced,Data Scientist,Marketing,Technology,92963
25,Male,PhD,Self-employed,33,Divorced,Cloud Architect,Communication,Technology,114738
64,Female,High School,Unemployed,37,Married,Cloud Architect,Leadership,Technology,38793
54,Male,High School,Unemployed,47,Married,Full Stack Developer,Leadership,Technology,59610
39,Male,Diploma,Private,55,Widowed,Full Stack Developer,Excel,Technology,76343
57,Female,Bachelors,Government,25,Widowed,Cloud Architect,Excel,Technology,92735
24,Female,Bachelors,Private,46,Single,Full Stack Developer,C++,Technology,139258
59,Male,PhD,Self-employed,49,Widowed,Data Scientist,Python,Technology,158108
28,Female,PhD,Unemployed,39,Single,Software Engineer,C++,Technology,208955
49,Male,High School,Private,33,Married,DevOps Engineer,Data Analysis,Technology,48155
39,Female,PhD,Government,48,Widowed,Full Stack Developer,Leadership,Technology,127640
39,Female,Bachelors,Government,44,Single,Data Scientist,Public Speaking,Technology,59010
35,Male,Diploma,Private,27,Married,Cloud Architect,Public Speaking,Technology,50455
54,Female,Diploma,Unemployed,30,Divorced,Cloud Architect,Public Speaking,Technology,101686
33,Male,Masters,Unemployed,56,Widowed,DevOps Engineer,C++,Technology,82938
41,Male,Masters,Unemployed,45,Single,Full Stack Developer,Graphic Design,Technology,57802
35,Male,Masters,Private,22,Single,DevOps Engineer,Communication,Technology,67858
36,Female,Masters,Freelancer,30,Widowed,Cloud Architect,Public Speaking,Technology,133582
38,Female,Masters,Unemployed,27,Widowed,Cloud Architect,Excel,Technology,74555
32,Female,PhD,Unemployed,40,Divorced,Data Scientist,Python,Technology,219145
37,Female,Diploma,Self-employed,24,Widowed,Full Stack Developer,C++,Technology,79879
28,Female,Bachelors,Government,46,Divorced,Data Scientist,Python,Technology,79636
57,Female,Bachelors,Private,31,Single,DevOps Engineer,React,Technology,89744
26,Male,Diploma,Government,26,Single,Cloud Architect,Marketing,Technology,63656
46,Female,High School,Self-employed,51,Widowed,Software Engineer,Public Speaking,Technology,41412
22,Female,Bachelors,Private,44,Married,Cloud Architect,DevOps,Technology,154107
44,Male,Bachelors,Unemployed,33,Married,Cloud Architect,Communication,Technology,80493
30,Female,Diploma,Self-employed,42,Divorced,DevOps Engineer,Data Analysis,Technology,55501
55,Male,PhD,Private,57,Widowed,Software Engineer,C++,Technology,112237
50,Male,Diploma,Private,22,Single,Software Engineer,Database Management,Technology,105822
22,Female,Bachelors,Freelancer,33,Divorced,Software Engineer,SQL,Technology,98023
63,Male,High School,Self-employed,59,Married,Software Engineer,Communication,Technology,47120
43,Female,Masters,Unemployed,29,Married,Full Stack Developer,Leadership,Technology,125896
52,Female,Bachelors,Self-employed,23,Married,DevOps Engineer,Python,Technology,51569
51,Male,Masters,Self-employed,27,Divorced,Full Stack Developer,Excel,Technology,86937
42,Female,High School,Government,45,Single,Full Stack Developer,Testing,Technology,56928
50,Female,PhD,Unemployed,21,Divorced,Software Engineer,Communication,Technology,161875
52,Male,Masters,Freelancer,39,Single,Software Engineer,Excel,Technology,70522
38,Female,High School,Self-employed,38,Single,DevOps Engineer,Leadership,Technology,63878
23,Female,High School,Freelancer,38,Divorced,Software Engineer,C++,Technology,45634
23,Female,Masters,Self-employed,24,Widowed,Data Scientist,React,Technology,138127
52,Male,High School,Private,35,Single,DevOps Engineer,Leadership,Technology,44458
56,Male,PhD,Freelancer,37,Married,Software Engineer,C++,Technology,113564
40,Female,Bachelors,Self-employed,27,Married,Data Scientist,Communication,Technology,78003
34,Female,PhD,Unemployed,56,Widowed,Software Engineer,Leadership,Technology,91869
52,Male,Diploma,Freelancer,39,Widowed,Full Stack Developer,Excel,Technology,66977
41,Male,PhD,Government,35,Divorced,DevOps Engineer,C++,Technology,221000
34,Male,PhD,Unemployed,31,Single,Data Scientist,Testing,Technology,115408
29,Male,Masters,Government,28,Single,DevOps Engineer,Communication,Technology,90098
46,Male,Diploma,Self-employed,35,Single,Data Scientist,Blockchain,Technology,43000
29,Female,High School,Freelancer,52,Widowed,DevOps Engineer,Data Analysis,Technology,52805
59,Male,PhD,Self-employed,49,Widowed,Cloud Architect,Python,Technology,158108
21,Male,Bachelors,Self-employed,57,Married,Cloud Architect,C++,Technology,57023
49,Male,Masters,Government,36,Divorced,DevOps Engineer,Machine Learning,Technology,155081
40,Male,Bachelors,Government,35,Single,Full Stack Developer,Public Speaking,Technology,69418
26,Male,PhD,Unemployed,30,Divorced,Full Stack Developer,Excel,Technology,102437
53,Female,PhD,Freelancer,38,Married,Data Scientist,Networking,Technology,185982
32,Male,Bachelors,Unemployed,47,Single,DevOps Engineer,Excel,Technology,68735
39,Male,High School,Freelancer,33,Married,Full Stack Developer,Networking,Technology,42084
48,Female,Bachelors,Unemployed,20,Single,Cloud Architect,Cloud Computing,Technology,86330
42,Male,Diploma,Government,21,Widowed,DevOps Engineer,Customer Support,Technology,58397
43,Male,Masters,Self-employed,20,Widowed,Software Engineer,C++,Technology,115394
35,Female,PhD,Freelancer,44,Single,DevOps Engineer,Marketing,Technology,93113
42,Male,Masters,Freelancer,35,Widowed,Cloud Architect,Project Management,Technology,80594
23,Male,Bachelors,Freelancer,29,Widowed,Full Stack Developer,Excel,Technology,108434
63,Male,High School,Self-employed,49,Widowed,Cloud Architect,Public Speaking,Technology,73226
29,Male,Diploma,Private,56,Widowed,Software Engineer,C++,Technology,65515
62,Female,Diploma,Government,25,Married,DevOps Engineer,Public Speaking,Technology,65686
54,Male,PhD,Government,23,Widowed,Full Stack Developer,Cloud Computing,Technology,110150
55,Female,PhD,Unemployed,51,Single,Cloud Architect,Python,Technology,186994
29,Male,PhD,Freelancer,58,Single,Data Scientist,Python,Technology,234084
56,Female,Diploma,Freelancer,47,Single,Full Stack Developer,Business Analysis,Technology,66624
23,Female,PhD,Self-employed,39,Married,Full Stack Developer,Python,Technology,130210
64,Female,Bachelors,Freelancer,48,Single,Data Scientist,Excel,Technology,109199
26,Female,Bachelors,Self-employed,43,Widowed,Full Stack Developer,Public Speaking,Technology,69903
28,Male,High School,Private,57,Married,Data Scientist,Communication,Technology,46955
61,Female,High School,Government,45,Divorced,Data Scientist,Communication,Technology,60148
51,Male,Masters,Private,43,Single,Full Stack Developer,Data Analysis,Technology,155820
23,Female,Masters,Self-employed,24,Widowed,Software Engineer,Python,Technology,125774
40,Female,Bachelors,Self-employed,55,Widowed,Data Scientist,Database Management,Technology,60784
42,Male,High School,Freelancer,48,Married,DevOps Engineer,Excel,Technology,37696
26,Female,Bachelors,Self-employed,31,Divorced,Data Scientist,Excel,Technology,91347
51,Female,High School,Government,21,Single,Full Stack Developer,Public Speaking,Technology,40643
37,Male,Masters,Government,43,Married,DevOps Engineer,Communication,Technology,123742
51,Female,High School,Freelancer,36,Single,DevOps Engineer,Data Analysis,Technology,70910
22,Male,High School,Government,25,Married,Cloud Architect,Testing,Technology,55093
52,Female,Diploma,Government,49,Widowed,Data Scientist,Python,Technology,74530
46,Male,PhD,Government,42,Married,DevOps Engineer,Python,Technology,90766
51,Female,Masters,Private,50,Single,Cloud Architect,Python,Technology,134875
60,Male,Bachelors,Freelancer,50,Widowed,Software Engineer,Data Analysis,Technology,117828
48,Male,Bachelors,Government,49,Married,Data Scientist,C++,Technology,103705
32,Male,PhD,Self-employed,28,Single,DevOps Engineer,Data Analysis,Technology,236679
28,Male,Bachelors,Unemployed,31,Married,Cloud Architect,Python,Technology,152691
46,Female,Masters,Unemployed,40,Widowed,Data Scientist,Python,Technology,105809
59,Female,Masters,Unemployed,24,Single,DevOps Engineer,Java,Technology,81195
37,Male,Masters,Government,43,Married,Full Stack Developer,Communication,Technology,123742
49,Male,Diploma,Private,46,Married,Cloud Architect,C++,Technology,102590
46,Female,Masters,Unemployed,40,Widowed,Software Engineer,Networking,Technology,106597
53,Female,Masters,Unemployed,47,Widowed,Software Engineer,Data Analysis,Technology,73593
22,Female,High School,Private,46,Married,Data Scientist,Cybersecurity,Technology,58452
37,Male,Diploma,Unemployed,41,Divorced,DevOps Engineer,Excel,Technology,76582
46,Female,Masters,Freelancer,28,Single,Data Scientist,SQL,Technology,137379
59,Female,Diploma,Unemployed,51,Single,Full Stack Developer,Database Management,Technology,46966
49,Male,Diploma,Self-employed,32,Widowed,Software Engineer,SQL,Technology,99301
56,Male,Masters,Self-employed,53,Widowed,Data Scientist,Marketing,Technology,95231
54,Female,PhD,Freelancer,28,Single,Software Engineer,Graphic Design,Technology,127698
61,Male,High School,Unemployed,57,Single,Cloud Architect,SQL,Technology,48725
46,Male,Bachelors,Unemployed,58,Single,Cloud Architect,Excel,Technology,69375
34,Female,PhD,Private,44,Divorced,DevOps Engineer,Data Visualization,Technology,139574
63,Female,High School,Private,37,Widowed,DevOps Engineer,C++,Technology,38824
19,Female,PhD,Self-employed,50,Single,Cloud Architect,Networking,Technology,143963
61,Female,High School,Self-employed,48,Married,Data Scientist,Machine Learning,Technology,43495
37,Female,Diploma,Self-employed,26,Widowed,DevOps Engineer,C++,Technology,40854
22,Male,Bachelors,Self-employed,27,Widowed,Software Engineer,Data Analysis,Technology,66376
53,Male,Diploma,Self-employed,35,Widowed,DevOps Engineer,Software Engineering,Technology,105937
18,Female,Diploma,Unemployed,29,Divorced,Data Scientist,C++,Technology,42288
54,Female,Diploma,Unemployed,30,Divorced,Data Scientist,Public Speaking,Technology,101686
19,Male,Diploma,Government,25,Single,Cloud Architect,C++,Technology,81143
47,Male,Bachelors,Unemployed,30,Single,Software Engineer,Statistics,Technology,96126
63,Female,High School,Freelancer,35,Divorced,Full Stack Developer,C++,Technology,63091
26,Female,Masters,Self-employed,31,Divorced,DevOps Engineer,Graphic Design,Technology,95604
64,Male,Masters,Self-employed,29,Divorced,Cloud Architect,Finance,Technology,116824
64,Male,Masters,Self-employed,29,Divorced,Cloud Architect,Finance,Technology,116824
53,Female,Diploma,Government,54,Divorced,DevOps Engineer,Software Engineering,Technology,46222
23,Male,High School,Private,44,Married,Full Stack Developer,Communication,Technology,50207
61,Male,PhD,Unemployed,46,Single,Software Engineer,Software Engineering,Technology,239617
32,Male,PhD,Private,28,Single,Full Stack Developer,Statistics,Technology,254937
47,Female,Diploma,Self-employed,38,Divorced,Software Engineer,Leadership,Technology,57171
41,Female,High School,Unemployed,34,Divorced,DevOps Engineer,SQL,Technology,65259
18,Female,PhD,Private,43,Divorced,Full Stack Developer,Python,Technology,197967
35,Male,Bachelors,Private,53,Single,Software Engineer,Excel,Technology,64802
32,Male,PhD,Unemployed,22,Married,Software Engineer,Content Writing,Technology,93179
27,Female,Diploma,Unemployed,46,Widowed,DevOps Engineer,C++,Technology,45279
23,Female,Masters,Private,53,Divorced,Automation Specialist,Excel,AI & Robotics,87281
43,Male,Bachelors,Unemployed,24,Single,AI Engineer,SQL,AI & Robotics,64522
22,Female,High School,Private,46,Married,Machine Learning Researcher,Python,AI & Robotics,53802
23,Male,Bachelors,Government,27,Divorced,Automation Specialist,Python,AI & Robotics,67173
28,Male,PhD,Self-employed,20,Divorced,Machine Learning Researcher,Leadership,AI & Robotics,214536
63,Female,Bachelors,Private,40,Divorced,Automation Specialist,UI/UX Design,AI & Robotics,133608
40,Male,Diploma,Unemployed,57,Divorced,AI Engineer,C++,AI & Robotics,40500
62,Female,Masters,Government,42,Divorced,Robotics Developer,Public Speaking,AI & Robotics,160915
61,Male,Bachelors,Private,48,Single,Automation Specialist,Data Analysis,AI & Robotics,110285
21,Female,Bachelors,Unemployed,58,Married,AI Engineer,Excel,AI & Robotics,74137
28,Female,Masters,Freelancer,26,Married,Automation Specialist,Data Analysis,AI & Robotics,121312
57,Female,Bachelors,Private,31,Single,Automation Specialist,React,AI & Robotics,89744
57,Male,High School,Freelancer,46,Single,Machine Learning Researcher,Data Analysis,AI & Robotics,36837
34,Male,Bachelors,Self-employed,30,Widowed,Robotics Developer,UI/UX Design,AI & Robotics,64597
39,Male,Bachelors,Self-employed,27,Single,Machine Learning Researcher,Public Speaking,AI & Robotics,47737
31,Female,High School,Private,29,Married,Machine Learning Researcher,Python,AI & Robotics,59491
38,Male,PhD,Private,43,Divorced,Data Engineer,Customer Support,AI & Robotics,91810
24,Male,Masters,Self-employed,40,Married,Robotics Developer,Customer Support,AI & Robotics,148415
32,Male,PhD,Self-employed,28,Single,Data Engineer,C++,AI & Robotics,223401
61,Male,PhD,Private,58,Single,Machine Learning Researcher,Customer Support,AI & Robotics,122351
52,Male,High School,Self-employed,43,Single,Data Engineer,HTML/CSS,AI & Robotics,34962
33,Male,High School,Private,47,Single,Robotics Developer,React,AI & Robotics,55800
59,Female,PhD,Self-employed,49,Divorced,Automation Specialist,HTML/CSS,AI & Robotics,137449
32,Female,Bachelors,Private,41,Married,Machine Learning Researcher,Python,AI & Robotics,62029
52,Male,High School,Private,35,Single,Machine Learning Researcher,Leadership,AI & Robotics,44458
20,Female,PhD,Government,42,Single,Robotics Developer,Python,AI & Robotics,168923
22,Female,PhD,Self-employed,20,Widowed,Robotics Developer,Python,AI & Robotics,158757
55,Male,PhD,Self-employed,52,Married,Robotics Developer,Content Writing,AI & Robotics,116373
64,Female,PhD,Freelancer,39,Divorced,Machine Learning Researcher,Python,AI & Robotics,101324
27,Male,High School,Freelancer,50,Single,Robotics Developer,Data Analysis,AI & Robotics,37964
52,Female,High School,Self-employed,41,Divorced,Automation Specialist,Excel,AI & Robotics,91136
62,Male,Masters,Freelancer,27,Single,Data Engineer,Business Analysis,AI & Robotics,97906
58,Male,Bachelors,Freelancer,38,Widowed,AI Engineer,Leadership,AI & Robotics,54084
58,Female,Bachelors,Unemployed,29,Widowed,Robotics Developer,Marketing,AI & Robotics,107869
32,Female,High School,Private,42,Widowed,Robotics Developer,Content Writing,AI & Robotics,42583
52,Male,High School,Self-employed,27,Widowed,Machine Learning Researcher,Marketing,AI & Robotics,76255
48,Female,Bachelors,Unemployed,20,Single,Automation Specialist,SQL,AI & Robotics,98304
34,Male,Diploma,Freelancer,26,Single,Robotics Developer,Finance,AI & Robotics,40436
56,Male,Diploma,Private,27,Divorced,Automation Specialist,Communication,AI & Robotics,47266
30,Male,Diploma,Freelancer,58,Married,Machine Learning Researcher,Machine Learning,AI & Robotics,53500
54,Male,Bachelors,Unemployed,28,Married,Automation Specialist,HTML/CSS,AI & Robotics,67063
40,Male,High School,Self-employed,59,Divorced,Machine Learning Researcher,Data Analysis,AI & Robotics,70321
28,Female,Masters,Freelancer,26,Married,Data Engineer,Data Analysis,AI & Robotics,121312
27,Male,Diploma,Private,34,Divorced,Automation Specialist,Java,AI & Robotics,53261
31,Male,High School,Private,33,Single,Data Engineer,Python,AI & Robotics,93469
56,Female,Bachelors,Private,56,Single,Machine Learning Researcher,Cybersecurity,AI & Robotics,53960
30,Male,PhD,Freelancer,54,Widowed,Machine Learning Researcher,Communication,AI & Robotics,109945
31,Male,High School,Freelancer,46,Divorced,Data Engineer,Graphic Design,AI & Robotics,61920
61,Female,High School,Government,45,Divorced,Data Engineer,Data Analysis,AI & Robotics,50797
31,Female,Masters,Government,44,Married,AI Engineer,C++,AI & Robotics,134099
54,Male,PhD,Self-employed,41,Divorced,AI Engineer,Communication,AI & Robotics,144743
58,Male,Diploma,Government,23,Divorced,Robotics Developer,C++,AI & Robotics,80592
47,Female,PhD,Private,39,Divorced,AI Engineer,Statistics,AI & Robotics,248791
64,Female,PhD,Freelancer,23,Single,Automation Specialist,Excel,AI & Robotics,162238
61,Male,PhD,Private,24,Widowed,Automation Specialist,C++,AI & Robotics,106322
22,Female,Bachelors,Freelancer,25,Single,Robotics Developer,Machine Learning,AI & Robotics,80051
46,Male,Bachelors,Government,52,Married,Data Engineer,Public Speaking,AI & Robotics,48004
46,Male,Masters,Self-employed,30,Single,AI Engineer,Python,AI & Robotics,84593
61,Female,PhD,Self-employed,28,Widowed,Machine Learning Researcher,SQL,AI & Robotics,143669
19,Male,Bachelors,Freelancer,44,Widowed,Machine Learning Researcher,Public Speaking,AI & Robotics,61677
44,Male,Diploma,Private,22,Divorced,Machine Learning Researcher,Content Writing,AI & Robotics,40674
46,Male,Diploma,Private,22,Widowed,AI Engineer,Data Analysis,AI & Robotics,45622
41,Female,Masters,Private,33,Married,AI Engineer,C++,AI & Robotics,105237
52,Female,Diploma,Government,49,Widowed,Automation Specialist,Python,AI & Robotics,74530
41,Female,High School,Unemployed,34,Divorced,Data Engineer,SQL,AI & Robotics,65259
63,Female,Diploma,Private,45,Single,AI Engineer,C++,AI & Robotics,42364
18,Female,PhD,Government,51,Divorced,Robotics Developer,C++,AI & Robotics,137561
46,Female,Masters,Self-employed,27,Divorced,AI Engineer,Communication,AI & Robotics,65793
46,Male,Bachelors,Freelancer,53,Widowed,Data Engineer,Blockchain,AI & Robotics,73227
56,Female,Masters,Freelancer,33,Widowed,Data Engineer,Excel,AI & Robotics,62657
19,Female,PhD,Self-employed,50,Single,Machine Learning Researcher,Business Analysis,AI & Robotics,114797
64,Male,High School,Private,52,Single,Machine Learning Researcher,Data Analysis,AI & Robotics,41433
54,Female,Diploma,Unemployed,30,Divorced,Robotics Developer,Data Visualization,AI & Robotics,93688
62,Male,Bachelors,Self-employed,28,Divorced,Robotics Developer,C++,AI & Robotics,111654
43,Male,High School,Private,32,Divorced,Automation Specialist,Public Speaking,AI & Robotics,73516
49,Male,Diploma,Government,27,Divorced,Automation Specialist,Graphic Design,AI & Robotics,52302
59,Male,Bachelors,Self-employed,25,Married,AI Engineer,Java,AI & Robotics,131413
24,Female,Masters,Unemployed,33,Married,Data Engineer,Content Writing,AI & Robotics,127070
43,Female,Masters,Freelancer,34,Single,Data Engineer,C++,AI & Robotics,75782
54,Male,Diploma,Government,59,Single,AI Engineer,Python,AI & Robotics,51500
28,Male,Diploma,Government,38,Married,Machine Learning Researcher,Communication,AI & Robotics,92439
43,Male,Masters,Self-employed,52,Divorced,Robotics Developer,Communication,AI & Robotics,80930
21,Female,Masters,Private,44,Single,AI Engineer,Public Speaking,AI & Robotics,104237
33,Female,PhD,Unemployed,32,Divorced,AI Engineer,Communication,AI & Robotics,105985
51,Female,Diploma,Private,27,Widowed,Automation Specialist,Networking,AI & Robotics,58955
39,Male,Diploma,Freelancer,33,Married,Automation Specialist,Data Analysis,AI & Robotics,45746
24,Male,PhD,Private,55,Married,Data Engineer,Testing,AI & Robotics,187000
25,Female,High School,Freelancer,29,Married,Data Engineer,Communication,AI & Robotics,50521
33,Male,Masters,Self-employed,33,Single,Data Engineer,SQL,AI & Robotics,69792
62,Female,Masters,Freelancer,38,Divorced,Automation Specialist,C++,AI & Robotics,134280
39,Female,Masters,Private,35,Divorced,Automation Specialist,Artificial Intelligence,AI & Robotics,75936
54,Male,Bachelors,Private,32,Widowed,Machine Learning Researcher,Leadership,AI & Robotics,102666
19,Male,PhD,Private,46,Widowed,Automation Specialist,Leadership,AI & Robotics,202549
29,Male,High School,Unemployed,55,Widowed,AI Engineer,Public Speaking,AI & Robotics,50443
64,Male,Diploma,Private,50,Married,AI Engineer,Communication,AI & Robotics,103941
50,Female,Bachelors,Unemployed,36,Widowed,Machine Learning Researcher,Leadership,AI & Robotics,49774
63,Male,High School,Unemployed,28,Divorced,Machine Learning Researcher,Data Analysis,AI & Robotics,56190
44,Male,Diploma,Private,30,Widowed,Automation Specialist,Database Management,AI & Robotics,59560
57,Male,Diploma,Unemployed,47,Divorced,Data Engineer,Database Management,AI & Robotics,77258
34,Female,High School,Government,51,Divorced,AI Engineer,Communication,AI & Robotics,46555
35,Male,Bachelors,Private,53,Single,Machine Learning Researcher,Machine Learning,AI & Robotics,65156
46,Female,PhD,Self-employed,44,Widowed,AI Engineer,Public Speaking,AI & Robotics,104299
50,Female,PhD,Freelancer,34,Widowed,Robotics Developer,Data Analysis,AI & Robotics,174865
64,Male,Diploma,Private,34,Single,Machine Learning Researcher,Cloud Computing,AI & Robotics,71974
51,Male,High School,Self-employed,45,Widowed,Machine Learning Researcher,Public Speaking,AI & Robotics,76571
31,Male,High School,Government,49,Widowed,AI Engineer,Leadership,AI & Robotics,56381
48,Female,PhD,Government,42,Widowed,AI Engineer,Public Speaking,AI & Robotics,103352
51,Male,Diploma,Self-employed,29,Single,AI Engineer,Customer Support,AI & Robotics,66934
64,Male,Masters,Freelancer,36,Married,Robotics Developer,Leadership,AI & Robotics,87084
18,Male,Bachelors,Self-employed,26,Single,Machine Learning Researcher,Communication,AI & Robotics,100990
55,Female,Masters,Unemployed,44,Married,Machine Learning Researcher,Public Speaking,AI & Robotics,79972
53,Male,High School,Unemployed,32,Widowed,Machine Learning Researcher,Communication,AI & Robotics,46362
30,Female,High School,Private,21,Divorced,Data Engineer,Java,AI & Robotics,50301
47,Female,Masters,Government,24,Divorced,Automation Specialist,Data Analysis,AI & Robotics,82799
46,Male,PhD,Government,48,Married,Data Engineer,Networking,AI & Robotics,137043
48,Female,Masters,Self-employed,31,Single,Data Engineer,Public Speaking,AI & Robotics,59374
27,Male,Masters,Private,57,Married,Robotics Developer,Leadership,AI & Robotics,55812
39,Female,Masters,Unemployed,57,Married,Data Engineer,Public Speaking,AI & Robotics,99569
22,Male,Masters,Private,21,Married,Automation Specialist,Blockchain,AI & Robotics,65639
35,Male,PhD,Private,54,Married,Robotics Developer,Business Analysis,AI & Robotics,114147
36,Male,PhD,Private,35,Single,Data Engineer,Excel,AI & Robotics,168568
34,Male,Diploma,Freelancer,37,Widowed,AI Engineer,Public Speaking,AI & Robotics,55845
50,Female,Masters,Freelancer,22,Divorced,Robotics Developer,Excel,AI & Robotics,131477
23,Male,Bachelors,Private,52,Widowed,Automation Specialist,Marketing,AI & Robotics,84714
62,Male,High School,Freelancer,23,Single,AI Engineer,Java,AI & Robotics,55557
54,Male,PhD,Freelancer,53,Divorced,AI Engineer,Networking,AI & Robotics,110216
20,Female,PhD,Freelancer,40,Divorced,AI Engineer,Data Analysis,AI & Robotics,135811
39,Female,Bachelors,Freelancer,52,Widowed,Automation Specialist,Artificial Intelligence,AI & Robotics,93297
43,Female,Bachelors,Private,21,Widowed,Data Engineer,Networking,AI & Robotics,63265
60,Female,PhD,Government,37,Divorced,Data Engineer,Python,AI & Robotics,100618
51,Female,Bachelors,Private,49,Widowed,Machine Learning Researcher,Public Speaking,AI & Robotics,103800
26,Male,PhD,Government,40,Divorced,AI Engineer,Marketing,AI & Robotics,126820
